"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr1",116380046,116405606,"-","CT","AC",1
"chr1",116384843,116396597,"+","GT","AG",2
"chr1",116385851,116395988,"+","GT","AG",1
"chr1",116388245,116429749,"+","GT","AG",3
"chr1",116390412,116390781,"+","GT","AG",19728
"chr1",116390412,116392853,"+","GT","AG",13
"chr1",116390892,116392853,"+","GT","AG",17867
"chr1",116392989,116393530,"+","GT","AG",21715
"chr1",116392991,116393528,"-","CT","AC",1
"chr1",116393005,116393530,"+","GT","AG",16
"chr1",116393027,116398135,"-","CT","AC",1
"chr1",116393027,116400895,"-","CT","AC",39
"chr1",116393027,116405606,"-","CT","AC",4
"chr1",116393027,116418458,"-","CT","AC",1
"chr1",116393047,116393530,"+","GT","AG",2
"chr1",116393724,116395090,"+","GT","AG",4
"chr1",116393724,116395109,"+","GT","AG",15759
"chr1",116393724,116395133,"+","GT","AG",5
"chr1",116393724,116396597,"+","GT","AG",295
"chr1",116395272,116430817,"+","GT","AG",1
"chr1",116395286,116396597,"+","GT","AG",20110
"chr1",116395286,116428558,"+","GT","AG",2
"chr1",116395301,116396611,"-","CT","AC",1
"chr1",116396735,116397887,"+","GT","AG",24265
"chr1",116398039,116398620,"+","GT","AG",23088
"chr1",116398039,116398674,"+","GT","AG",1
"chr1",116398790,116398929,"+","GT","AG",18742
"chr1",116398790,116399419,"+","GT","AG",9
"chr1",116399085,116399419,"+","GT","AG",19802
"chr1",116399315,116400895,"-","CT","AC",46
"chr1",116399544,116400860,"+","GT","AG",17455
"chr1",116399544,116400871,"+","GT","AG",1
"chr1",116399544,116401129,"+","GT","AG",1
"chr1",116399668,116400895,"-","CT","AC",1
"chr1",116399711,116400860,"+","GT","AG",2
"chr1",116400923,116400964,"-","CT","AC",1
"chr1",116401007,116401129,"+","GT","AG",16279
"chr1",116401090,116401553,"+","GT","AG",1
"chr1",116401132,116402735,"-","CT","AC",1
"chr1",116401132,116405606,"-","CT","AC",17
"chr1",116401132,116418458,"-","CT","AC",49
"chr1",116401219,116402735,"-","CT","AC",2
"chr1",116401219,116418458,"-","CT","AC",2
"chr1",116401261,116401553,"+","GT","AG",19983
"chr1",116401656,116403883,"+","GT","AG",19582
"chr1",116401656,116404415,"+","GT","AG",5
"chr1",116402864,116418458,"-","CT","AC",1
"chr1",116403530,116405606,"-","CT","AC",1
"chr1",116403530,116418458,"-","CT","AC",1
"chr1",116403711,116405606,"-","CT","AC",1
"chr1",116403970,116404409,"-","CT","AC",1
"chr1",116403976,116404384,"+","GT","AG",6
"chr1",116403976,116404415,"+","GT","AG",15219
"chr1",116404254,116418458,"-","CT","AC",1
"chr1",116406013,116406036,"+","GT","AG",1
"chr1",116406149,116406927,"-","CT","AC",5
"chr1",116406149,116408060,"-","CT","AC",1
"chr1",116406149,116411260,"-","CT","AC",17
"chr1",116406149,116416148,"-","CT","AC",1
"chr1",116406149,116418458,"-","CT","AC",168
"chr1",116406265,116418458,"-","CT","AC",3
"chr1",116406399,116410134,"+","GT","AG",3
"chr1",116407196,116411260,"-","CT","AC",1
"chr1",116407196,116418458,"-","CT","AC",3
"chr1",116410178,116411260,"-","CT","AC",1
"chr1",116410661,116411260,"-","CT","AC",3
"chr1",116411316,116411619,"-","CT","AC",2
"chr1",116411316,116413761,"-","CT","AC",1
"chr1",116411316,116416148,"-","CT","AC",1
"chr1",116411316,116418458,"-","CT","AC",23
"chr1",116411370,116413761,"-","CT","AC",1
"chr1",116411711,116418458,"-","CT","AC",1
"chr1",116411736,116418458,"-","CT","AC",1
"chr1",116413914,116416148,"-","CT","AC",1
"chr1",116413914,116417659,"-","CT","AC",3
"chr1",116413914,116418458,"-","CT","AC",68
"chr1",116416387,116418458,"-","CT","AC",3
"chr1",116417738,116418458,"-","CT","AC",2
